epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36352,0.86288,3.75379,0.97922,0.00777,0.95,0.01007,0.00667,1.07636,3.50659,0.9697,6.668e-05,6.668e-05,6.668e-05
2,3.88075,0.46608,3.36642,0.84927,0.01003,1,0.01379,0.01173,0.52666,3.39983,0.80144,0.000148545,0.000148545,0.000148545
3,5.29385,0.71731,2.4517,0.90848,0.01015,1,0.01767,0.01538,0.51516,3.31721,0.8122,0.000228759,0.000228759,0.000228759
4,6.70186,0.59179,1.45792,0.92341,0.00824,1,0.02033,0.01809,0.53587,3.21069,0.8179,0.000307323,0.000307323,0.000307323
5,8.22305,0.49412,1.1254,0.85426,0.00753,1,0.16632,0.14378,0.49843,3.07479,0.80247,0.000384237,0.000384237,0.000384237
6,9.40211,0.54936,1.06027,0.89212,0.00718,1,0.58178,0.48684,0.5247,3.02768,0.81245,0.0004595,0.0004595,0.0004595
7,10.878,0.45907,0.94459,0.86218,0.00667,1,0.23176,0.20861,0.49266,3.00913,0.8071,0.000533113,0.000533113,0.000533113
8,12.2083,0.53207,0.99857,0.85418,0.00698,1,0.80455,0.68763,0.52858,2.95259,0.80982,0.000605076,0.000605076,0.000605076
9,13.6875,0.53024,0.94813,0.88114,0.00703,1,0.99262,0.87841,0.49311,2.86221,0.80666,0.000675388,0.000675388,0.000675388
10,14.9438,0.55408,0.97217,0.86585,0.00671,1,0.995,0.84005,0.58429,2.8531,0.81724,0.00074405,0.00074405,0.00074405
11,16.275,0.65764,0.96408,0.88694,0.00677,1,0.995,0.82454,0.77445,2.79999,0.90264,0.000811062,0.000811062,0.000811062
12,17.5591,0.49606,0.89594,0.84061,0.00741,1,0.92662,0.84577,0.46569,2.83072,0.80302,0.000876424,0.000876424,0.000876424
13,18.83,0.51798,0.87656,0.8569,0.00746,1,0.95851,0.87654,0.45092,2.77364,0.79817,0.000940135,0.000940135,0.000940135
14,20.1025,0.49651,0.82746,0.85518,0.00775,1,0.93589,0.82051,0.64252,2.45377,0.83321,0.0010022,0.0010022,0.0010022
15,21.4035,0.45748,0.81189,0.83823,0.50629,0.71824,0.58052,0.51508,0.53238,2.59115,0.84864,0.00106261,0.00106261,0.00106261
16,22.5841,0.46279,0.75927,0.82245,0.64895,0.7,0.71951,0.6285,0.53048,2.32444,0.84783,0.00112137,0.00112137,0.00112137
17,23.8673,0.45648,0.76509,0.82544,0.97844,1,0.995,0.88348,0.5251,1.63302,0.85053,0.00117848,0.00117848,0.00117848
18,25.2257,0.4012,0.75574,0.83244,0.98612,1,0.995,0.87398,0.52416,1.49345,0.84891,0.00123394,0.00123394,0.00123394
19,26.5572,0.44336,0.74451,0.8414,0.99178,1,0.995,0.86364,0.58132,1.40266,0.85697,0.00128774,0.00128774,0.00128774
20,27.8512,0.41277,0.75591,0.82581,0.99037,1,0.995,0.90177,0.46611,1.3081,0.82153,0.0013399,0.0013399,0.0013399
21,29.0705,0.41314,0.72847,0.82945,0.98629,1,0.995,0.8976,0.46045,1.2944,0.82863,0.00133693,0.00133693,0.00133693
22,30.3121,0.37679,0.70224,0.835,0.99001,1,0.995,0.9019,0.54068,1.21234,0.85631,0.00132043,0.00132043,0.00132043
23,31.5208,0.37058,0.6978,0.80495,0.99189,1,0.995,0.90261,0.49723,1.13879,0.84237,0.00130393,0.00130393,0.00130393
24,32.8316,0.35438,0.67419,0.80983,0.99667,1,0.995,0.90072,0.46766,0.81159,0.83187,0.00128742,0.00128742,0.00128742
25,34.0931,0.34022,0.6276,0.80758,0.99778,1,0.995,0.87861,0.57845,0.73987,0.85272,0.00127092,0.00127092,0.00127092
26,35.3531,0.35494,0.6419,0.81655,0.99754,1,0.995,0.91738,0.48933,0.66973,0.83659,0.00125442,0.00125442,0.00125442
27,36.6068,0.34883,0.57473,0.78813,0.99711,1,0.995,0.91541,0.43064,0.57668,0.82253,0.00123791,0.00123791,0.00123791
28,37.8557,0.34762,0.59194,0.79407,0.99697,1,0.995,0.90556,0.39362,0.52703,0.81768,0.00122141,0.00122141,0.00122141
29,39.0854,0.31143,0.56758,0.80299,0.99695,1,0.995,0.89989,0.49219,0.55971,0.84762,0.00120491,0.00120491,0.00120491
30,40.2542,0.37326,0.58846,0.81175,0.99683,1,0.995,0.89222,0.48808,0.58421,0.84458,0.0011884,0.0011884,0.0011884
31,41.4875,0.29748,0.56366,0.78817,0.9969,1,0.995,0.91739,0.43117,0.56195,0.82774,0.0011719,0.0011719,0.0011719
32,42.7498,0.30184,0.53795,0.78793,0.99799,1,0.995,0.91084,0.42302,0.48662,0.83305,0.0011554,0.0011554,0.0011554
33,44.0239,0.28172,0.52874,0.77883,0.99757,1,0.995,0.92111,0.42551,0.4654,0.83489,0.00113889,0.00113889,0.00113889
34,45.3464,0.31093,0.5351,0.8111,0.9972,1,0.995,0.88367,0.49621,0.46433,0.86071,0.00112239,0.00112239,0.00112239
35,46.5688,0.28392,0.49874,0.78274,0.99622,1,0.995,0.91162,0.44964,0.44395,0.84324,0.00110589,0.00110589,0.00110589
36,47.9331,0.30789,0.5185,0.79646,0.99692,1,0.995,0.92552,0.3995,0.4062,0.827,0.00108938,0.00108938,0.00108938
37,49.185,0.29851,0.49463,0.79531,0.99747,1,0.995,0.88853,0.5224,0.43138,0.86514,0.00107288,0.00107288,0.00107288
38,50.5454,0.29092,0.48915,0.7974,0.99782,1,0.995,0.90365,0.48324,0.38904,0.85652,0.00105638,0.00105638,0.00105638
39,51.7619,0.27234,0.48681,0.77746,0.99745,1,0.995,0.9198,0.38409,0.361,0.82757,0.00103987,0.00103987,0.00103987
40,52.9616,0.29686,0.51358,0.82011,0.99741,1,0.995,0.92362,0.41325,0.3444,0.84061,0.00102337,0.00102337,0.00102337
41,54.0983,0.24131,0.44639,0.78161,0.99741,1,0.995,0.93072,0.40883,0.32347,0.83312,0.00100687,0.00100687,0.00100687
42,55.358,0.25341,0.4579,0.77862,0.99737,1,0.995,0.92509,0.48114,0.34271,0.85231,0.000990365,0.000990365,0.000990365
43,56.5542,0.2538,0.44965,0.79288,0.99718,1,0.995,0.936,0.42393,0.3285,0.8305,0.000973861,0.000973861,0.000973861
44,57.759,0.25046,0.4358,0.78648,0.99712,1,0.995,0.90604,0.45957,0.29947,0.85228,0.000957358,0.000957358,0.000957358
45,59.1103,0.25701,0.42033,0.78843,0.99704,1,0.995,0.90037,0.47029,0.301,0.85517,0.000940855,0.000940855,0.000940855
46,60.5074,0.26615,0.41389,0.7794,0.99705,1,0.995,0.91216,0.43453,0.29939,0.84241,0.000924352,0.000924352,0.000924352
47,61.8074,0.26812,0.4404,0.79315,0.9972,1,0.995,0.9182,0.44611,0.2918,0.84267,0.000907848,0.000907848,0.000907848
48,63.1434,0.25663,0.42565,0.7834,0.99726,1,0.995,0.91246,0.45838,0.30186,0.85218,0.000891345,0.000891345,0.000891345
49,64.4046,0.26174,0.41845,0.77426,0.99731,1,0.995,0.91283,0.4089,0.29175,0.8322,0.000874842,0.000874842,0.000874842
50,65.6061,0.26515,0.42376,0.80298,0.99738,1,0.995,0.90382,0.43676,0.30038,0.83796,0.000858338,0.000858338,0.000858338
51,66.9002,0.23872,0.40423,0.77222,0.99738,1,0.995,0.89868,0.48207,0.31496,0.85672,0.000841835,0.000841835,0.000841835
52,68.2784,0.26801,0.43223,0.79319,0.99738,1,0.995,0.91832,0.38435,0.29188,0.82345,0.000825332,0.000825332,0.000825332
53,69.5853,0.23114,0.40089,0.77525,0.99737,1,0.995,0.90647,0.41408,0.28487,0.83016,0.000808828,0.000808828,0.000808828
54,70.8754,0.22716,0.38912,0.80653,0.99746,1,0.995,0.90377,0.46371,0.27949,0.84758,0.000792325,0.000792325,0.000792325
55,72.2511,0.24435,0.39393,0.79666,0.99742,1,0.995,0.91177,0.43912,0.2862,0.84075,0.000775822,0.000775822,0.000775822
56,73.5753,0.23764,0.38907,0.77686,0.99742,1,0.995,0.91124,0.45463,0.28843,0.84768,0.000759318,0.000759318,0.000759318
57,74.8091,0.23453,0.38496,0.79501,0.99743,1,0.995,0.88751,0.47081,0.2891,0.84854,0.000742815,0.000742815,0.000742815
58,76.0959,0.24027,0.38481,0.79636,0.99744,1,0.995,0.8993,0.45659,0.2663,0.84433,0.000726312,0.000726312,0.000726312
59,77.3943,0.21168,0.34797,0.76442,0.99739,1,0.995,0.90518,0.45254,0.25956,0.84317,0.000709809,0.000709809,0.000709809
60,78.7346,0.20191,0.34825,0.77359,0.99737,1,0.995,0.92429,0.36552,0.24469,0.81942,0.000693305,0.000693305,0.000693305
61,80.088,0.20498,0.35358,0.79322,0.99738,1,0.995,0.91493,0.38902,0.25344,0.82316,0.000676802,0.000676802,0.000676802
62,81.3759,0.19321,0.33102,0.78876,0.99744,1,0.995,0.90737,0.42459,0.2445,0.83318,0.000660299,0.000660299,0.000660299
63,82.698,0.20187,0.34723,0.76143,0.9974,1,0.995,0.92535,0.41996,0.24392,0.83499,0.000643795,0.000643795,0.000643795
